customer_id,age,city,area,occupation,income_band,preferred_cuisine,secondary_cuisine,dietary_preference,avg_order_value,orders_per_month,preferred_order_time,weekend_order_share,discount_sensitivity,rating_tendency,new_restaurant_affinity,restaurant_loyalty,healthy_food_affinity,spicy_food_affinity,premium_affinity,customer_segment
C0093,51,Mumbai,Lower Parel,IT/Tech,3-6L,South Indian,Burgers,No Preference,402.0,7,Late Night,0.24,0.5,0.92,0.28,0.49,0.4,0.12,0.1,Food Explorer
C0094,41,Chennai,Anna Nagar,Consulting,3-6L,Chinese,Thai,No Preference,471.0,4,Evening Snack,0.71,0.82,0.74,0.73,0.25,0.34,0.81,0.64,Food Explorer
C0095,48,Delhi,Saket,Marketing,6-10L,Chinese,North Indian,No Preference,593.0,5,Lunch,0.48,0.73,0.67,0.19,0.37,0.36,0.14,0.41,Food Explorer
C0096,22,Hyderabad,Hitech City,IT/Tech,10-20L,Italian,Desserts,Vegetarian,891.0,3,Late Night,0.5,0.72,0.52,0.1,0.41,0.59,0.26,0.62,Food Explorer
C0097,41,Chennai,Anna Nagar,IT/Tech,20L+,Healthy,Maharashtrian,Vegan,941.0,4,Late Night,0.48,0.46,0.63,0.61,0.89,0.32,0.11,0.72,Food Explorer
C0098,33,Pune,Kothrud,IT/Tech,10-20L,Cafe,Burgers,No Preference,614.0,8,Evening Snack,0.48,0.8,0.46,0.72,0.5,0.69,0.64,0.74,Food Explorer
C0099,47,Mumbai,Bandra,Student,3-6L,North Indian,Pizza,High-Protein,430.0,7,Evening Snack,0.71,0.56,0.94,0.53,0.34,0.74,0.26,0.35,Health Conscious
C0100,39,Mumbai,Powai,Healthcare,<3L,Burgers,Italian,High-Protein,202.0,4,Dinner,0.69,0.46,0.93,0.5,0.52,0.89,0.54,0.73,Health Conscious
C0101,23,Hyderabad,Banjara Hills,Entrepreneur,6-10L,South Indian,Maharashtrian,No Preference,348.0,5,Breakfast,0.2,0.68,0.53,0.58,0.47,0.69,0.4,0.09,Budget Explorer
C0102,45,Pune,Kothrud,Healthcare,6-10L,North Indian,South Indian,Vegetarian,580.0,3,Dinner,0.37,0.79,0.76,0.86,0.26,0.62,0.76,0.08,Food Explorer
C0103,33,Mumbai,Bandra,Government,3-6L,Maharashtrian,North Indian,Vegetarian,320.0,10,Dinner,0.72,0.45,0.81,0.56,0.55,0.44,0.65,0.26,Food Explorer
C0104,19,Mumbai,Lower Parel,Finance,6-10L,Thai,Maharashtrian,No Preference,576.0,5,Evening Snack,0.57,0.32,0.72,0.66,0.9,0.27,0.22,0.11,Food Explorer
C0105,46,Delhi,Connaught Place,IT/Tech,10-20L,Burgers,Cafe,No Preference,817.0,4,Breakfast,0.48,0.38,0.53,0.23,0.68,0.7,0.25,0.36,Food Explorer
C0106,25,Bengaluru,Indiranagar,Consulting,10-20L,Biryani,Healthy,No Preference,725.0,7,Late Night,0.49,0.52,0.94,0.2,0.81,0.16,0.44,0.66,Convenience Seeker
C0107,51,Chennai,T Nagar,Entrepreneur,10-20L,Maharashtrian,Chinese,No Preference,675.0,6,Evening Snack,0.54,0.51,0.76,0.38,0.81,0.76,0.64,0.2,Convenience Seeker
C0108,45,Delhi,Saket,Engineering,10-20L,North Indian,South Indian,Vegetarian,830.0,9,Evening Snack,0.25,0.41,0.78,0.38,0.86,0.86,0.82,0.26,Convenience Seeker
C0109,35,Kolkata,Salt Lake,Finance,6-10L,Maharashtrian,Healthy,No Preference,534.0,7,Lunch,0.51,0.61,0.45,0.6,0.83,0.39,0.89,0.09,Food Explorer
C0110,23,Mumbai,Andheri,Student,20L+,Maharashtrian,Pizza,Vegetarian,958.0,6,Late Night,0.4,0.66,0.65,0.6,0.37,0.91,0.51,0.73,Health Conscious
C0111,37,Pune,Viman Nagar,Marketing,<3L,North Indian,Biryani,No Preference,429.0,7,Dinner,0.43,0.42,0.44,0.79,0.39,0.94,0.39,0.39,Health Conscious
C0112,50,Pune,Kothrud,Engineering,<3L,Biryani,Healthy,No Preference,256.0,6,Dinner,0.3,0.23,0.52,0.41,0.61,0.31,0.84,0.19,Food Explorer
C0113,54,Pune,Hinjewadi,Government,3-6L,South Indian,Healthy,Low-Calorie,445.0,5,Dinner,0.45,0.4,0.36,0.86,0.53,0.92,0.28,0.35,Health Conscious
C0114,36,Mumbai,Powai,Marketing,6-10L,Desserts,Cafe,Vegetarian,494.0,10,Late Night,0.15,0.24,0.43,0.31,0.42,0.44,0.14,0.09,Food Explorer
C0115,30,Kolkata,Salt Lake,Government,6-10L,Chinese,Italian,Vegetarian,518.0,6,Late Night,0.32,0.94,0.76,0.2,0.88,0.43,0.78,0.34,Convenience Seeker
C0116,27,Pune,Kothrud,Consulting,6-10L,Thai,Maharashtrian,No Preference,510.0,6,Breakfast,0.23,0.42,0.63,0.47,0.6,0.54,0.38,0.57,Food Explorer
C0117,43,Delhi,Connaught Place,Other,10-20L,Pizza,Desserts,No Preference,807.0,1,Late Night,0.47,0.72,0.53,0.75,0.43,0.67,0.93,0.55,Food Explorer
C0118,48,Mumbai,Andheri,Healthcare,20L+,Maharashtrian,Desserts,No Preference,942.0,7,Breakfast,0.5,0.29,0.73,0.6,0.78,0.23,0.68,0.08,Food Explorer
C0119,30,Mumbai,Lower Parel,Student,6-10L,Thai,South Indian,No Preference,350.0,4,Lunch,0.4,0.77,0.9,0.8,0.7,0.15,0.22,0.23,Budget Explorer
C0120,48,Pune,Hinjewadi,Engineering,3-6L,South Indian,Healthy,High-Protein,354.0,6,Evening Snack,0.48,0.69,0.87,0.64,0.75,0.32,0.51,0.86,Budget Explorer
C0121,53,Bengaluru,Koramangala,Healthcare,3-6L,Pizza,Burgers,Vegetarian,278.0,4,Dinner,0.34,0.43,0.91,0.74,0.36,0.2,0.68,0.37,Food Explorer
C0122,40,Pune,Viman Nagar,Finance,3-6L,Pizza,Chinese,No Preference,432.0,6,Dinner,0.54,0.75,0.48,0.76,0.35,0.58,0.33,0.14,Food Explorer
C0123,33,Ahmedabad,Navrangpura,Consulting,<3L,Healthy,Biryani,Vegetarian,289.0,3,Breakfast,0.21,0.41,0.63,0.64,0.25,0.92,0.93,0.18,Health Conscious
C0124,48,Chennai,T Nagar,Consulting,10-20L,Pizza,Thai,No Preference,716.0,6,Breakfast,0.69,0.22,0.69,0.53,0.69,0.9,0.88,0.2,Convenience Seeker
C0125,20,Delhi,Connaught Place,Entrepreneur,10-20L,South Indian,Burgers,High-Protein,825.0,6,Breakfast,0.33,0.63,0.91,0.37,0.49,0.65,0.55,0.81,Food Explorer
C0126,50,Delhi,Saket,Marketing,3-6L,Chinese,Thai,No Preference,173.0,3,Dinner,0.54,0.72,0.36,0.37,0.37,0.67,0.26,0.57,Food Explorer
C0127,45,Pune,Viman Nagar,Engineering,3-6L,Thai,Cafe,No Preference,429.0,3,Lunch,0.44,0.9,0.35,0.41,0.49,0.33,0.38,0.55,Food Explorer
C0128,18,Ahmedabad,Navrangpura,Healthcare,6-10L,Cafe,Biryani,No Preference,423.0,3,Breakfast,0.43,0.28,0.76,0.84,0.82,0.75,0.69,0.59,Food Explorer
C0129,41,Bengaluru,Whitefield,Other,3-6L,South Indian,Healthy,No Preference,390.0,4,Late Night,0.37,0.71,0.9,0.71,0.75,0.8,0.75,0.63,Budget Explorer
C0130,51,Mumbai,Bandra,Marketing,6-10L,Burgers,Chinese,High-Protein,487.0,8,Breakfast,0.19,0.59,0.65,0.56,0.26,0.38,0.54,0.15,Food Explorer
C0131,55,Delhi,Dwarka,Marketing,<3L,Healthy,Italian,Jain,150.0,7,Dinner,0.23,0.48,0.69,0.55,0.65,0.36,0.12,0.27,Food Explorer
C0132,31,Mumbai,Andheri,Other,<3L,Thai,Burgers,Vegetarian,476.0,8,Late Night,0.75,0.9,0.39,0.85,0.17,0.45,0.75,0.7,Food Explorer
C0133,41,Hyderabad,Banjara Hills,Entrepreneur,6-10L,Thai,Italian,No Preference,496.0,5,Late Night,0.23,0.84,0.42,0.89,0.44,0.21,0.93,0.76,Food Explorer
C0134,37,Mumbai,Andheri,Marketing,6-10L,Healthy,Thai,Vegetarian,610.0,7,Lunch,0.3,0.43,0.52,0.85,0.69,0.2,0.79,0.41,Food Explorer
C0135,33,Mumbai,Andheri,Consulting,<3L,Maharashtrian,North Indian,No Preference,246.0,3,Breakfast,0.3,0.19,0.61,0.53,0.72,0.76,0.22,0.89,Health Conscious
C0136,54,Bengaluru,Indiranagar,Government,6-10L,Desserts,Burgers,No Preference,422.0,7,Lunch,0.74,0.57,0.6,0.32,0.57,0.6,0.72,0.2,Food Explorer
C0137,53,Hyderabad,Banjara Hills,Marketing,<3L,Burgers,Cafe,Vegetarian,326.0,7,Late Night,0.34,0.48,0.44,0.4,0.72,0.5,0.82,0.31,Food Explorer
C0138,47,Delhi,Saket,Student,6-10L,Thai,Maharashtrian,Vegetarian,598.0,3,Dinner,0.3,0.31,0.74,0.84,0.79,0.18,0.72,0.21,Food Explorer
C0139,42,Bengaluru,Koramangala,Other,6-10L,Chinese,Pizza,Jain,519.0,6,Late Night,0.58,0.6,0.64,0.8,0.4,0.91,0.11,0.85,Health Conscious
C0140,48,Mumbai,Lower Parel,Consulting,6-10L,Cafe,Biryani,No Preference,424.0,7,Lunch,0.48,0.77,0.58,0.53,0.42,0.32,0.54,0.47,Food Explorer
C0141,48,Mumbai,Lower Parel,Government,10-20L,Burgers,Thai,No Preference,761.0,4,Late Night,0.67,0.74,0.36,0.54,0.59,0.71,0.35,0.22,Food Explorer
C0142,42,Bengaluru,Indiranagar,Other,10-20L,Italian,Maharashtrian,Vegetarian,548.0,3,Evening Snack,0.3,0.81,0.93,0.61,0.52,0.24,0.78,0.19,Food Explorer
C0143,49,Kolkata,Salt Lake,Finance,10-20L,Healthy,Cafe,Low-Calorie,697.0,8,Late Night,0.17,0.83,0.92,0.63,0.72,0.45,0.82,0.25,Food Explorer
C0144,18,Delhi,Saket,Consulting,6-10L,Burgers,North Indian,Vegetarian,677.0,4,Late Night,0.7,0.68,0.36,0.53,0.46,0.11,0.71,0.51,Food Explorer
